"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron324","pbmc3k",2412,60,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron325","pbmc3k",4809,64,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron326","pbmc3k",6696,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron327","pbmc3k",4812,73,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron328","pbmc3k",5164,74,"3","3","hSST","hSST","NP"
"Neuron329","pbmc3k",6691,77,"5","5","hNP1","hNP1","NP"
"Neuron330","pbmc3k",8552,75,"0","0","hNP1","hNP1","NP"
"Neuron331","pbmc3k",4968,69,"0","0","hNP1","hNP1","NP"
"Neuron332","pbmc3k",4200,63,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron333","pbmc3k",4059,61,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron334","pbmc3k",887,45,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron335","pbmc3k",4409,71,"3","3","hSST","hSST","NP"
"Neuron336","pbmc3k",1701,58,"12","12","hPropr","hPropr","NF"
"Neuron337","pbmc3k",4131,68,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron338","pbmc3k",810,53,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron339","pbmc3k",2485,67,"0","0","hNP1","hNP1","NP"
"Neuron340","pbmc3k",5120,71,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron341","pbmc3k",5676,63,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron342","pbmc3k",3261,65,"12","12","hPropr","hPropr","NF"
"Neuron343","pbmc3k",8341,71,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron344","pbmc3k",1603,56,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron346","pbmc3k",3858,56,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron347","pbmc3k",8813,65,"12","12","hPropr","hPropr","NF"
"Neuron348","pbmc3k",2531,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron349","pbmc3k",3401,67,"3","3","hSST","hSST","NP"
"Neuron350","pbmc3k",1051,50,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron351","pbmc3k",1468,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron352","pbmc3k",3985,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron353","pbmc3k",4130,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron354","pbmc3k",4839,73,"3","3","hSST","hSST","NP"
"Neuron355","pbmc3k",6222,69,"0","0","hNP1","hNP1","NP"
"Neuron356","pbmc3k",5233,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron357","pbmc3k",10441,74,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron358","pbmc3k",2513,68,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron359","pbmc3k",8653,68,"12","12","hPropr","hPropr","NF"
"Neuron360","pbmc3k",8877,75,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron362","pbmc3k",556,48,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron363","pbmc3k",6152,72,"12","12","hPropr","hPropr","NF"
"Neuron364","pbmc3k",6965,72,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron365","pbmc3k",5832,64,"12","12","hPropr","hPropr","NF"
"Neuron366","pbmc3k",3589,62,"12","12","hPropr","hPropr","NF"
"Neuron367","pbmc3k",362,48,"5","5","hNP1","hNP1","NP"
"Neuron368","pbmc3k",1255,60,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron369","pbmc3k",1082,55,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron370","pbmc3k",2307,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron371","pbmc3k",1093,49,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron372","pbmc3k",1643,58,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron373","pbmc3k",4909,68,"3","3","hSST","hSST","NP"
"Neuron374","pbmc3k",5378,72,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron375","pbmc3k",4395,68,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron376","pbmc3k",272,36,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron377","pbmc3k",5945,63,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron378","pbmc3k",4535,59,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron379","pbmc3k",1888,68,"3","3","hSST","hSST","NP"
"Neuron380","pbmc3k",8910,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron381","pbmc3k",5690,71,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron382","pbmc3k",5265,68,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron383","pbmc3k",3177,62,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron384","pbmc3k",3485,64,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron385","pbmc3k",14551,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron386","pbmc3k",7363,64,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron387","pbmc3k",2620,60,"3","3","hSST","hSST","NP"
"Neuron388","pbmc3k",3021,67,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron389","pbmc3k",8540,72,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron390","pbmc3k",13333,75,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron391","pbmc3k",6715,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron392","pbmc3k",5420,67,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron393","pbmc3k",8254,77,"0","0","hNP1","hNP1","NP"
"Neuron394","pbmc3k",5449,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron395","pbmc3k",3638,72,"0","0","hNP1","hNP1","NP"
"Neuron396","pbmc3k",6321,73,"3","3","hSST","hSST","NP"
"Neuron397","pbmc3k",6581,74,"3","3","hSST","hSST","NP"
"Neuron398","pbmc3k",6301,76,"3","3","hSST","hSST","NP"
"Neuron399","pbmc3k",2782,71,"0","0","hNP1","hNP1","NP"
"Neuron400","pbmc3k",1620,69,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron401","pbmc3k",1651,65,"3","3","hSST","hSST","NP"
"Neuron402","pbmc3k",10532,77,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron403","pbmc3k",11986,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron404","pbmc3k",1935,68,"3","3","hSST","hSST","NP"
"Neuron405","pbmc3k",1024,48,"3","3","hSST","hSST","NP"
"Neuron406","pbmc3k",526,54,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron407","pbmc3k",763,58,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron408","pbmc3k",7424,81,"3","3","hSST","hSST","NP"
"Neuron409","pbmc3k",6711,66,"0","0","hNP1","hNP1","NP"
"Neuron410","pbmc3k",5797,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron411","pbmc3k",6183,73,"15","15","hNP2","hNP2","NP"
"Neuron412","pbmc3k",5249,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron413","pbmc3k",487,48,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron414","pbmc3k",4554,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron415","pbmc3k",1676,55,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron417","pbmc3k",9644,79,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron418","pbmc3k",5881,76,"15","15","hNP2","hNP2","NP"
"Neuron419","pbmc3k",5794,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron420","pbmc3k",1155,65,"15","15","hNP2","hNP2","NP"
"Neuron421","pbmc3k",2026,66,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron422","pbmc3k",1722,57,"3","3","hSST","hSST","NP"
"Neuron423","pbmc3k",5713,72,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron424","pbmc3k",3682,74,"12","12","hPropr","hPropr","NF"
"Neuron425","pbmc3k",4789,69,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron426","pbmc3k",1967,60,"3","3","hSST","hSST","NP"
"Neuron427","pbmc3k",9384,75,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron428","pbmc3k",4320,73,"3","3","hSST","hSST","NP"
"Neuron429","pbmc3k",6117,77,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron430","pbmc3k",7084,79,"3","3","hSST","hSST","NP"
"Neuron431","pbmc3k",8546,78,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron432","pbmc3k",10598,70,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron434","pbmc3k",5971,65,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron435","pbmc3k",2134,60,"12","12","hPropr","hPropr","NF"
"Neuron436","pbmc3k",415,50,"14","14","hPEP0","hPEP.0","PEP"
"Neuron437","pbmc3k",3821,66,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron439","pbmc3k",7430,75,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron440","pbmc3k",16078,75,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron441","pbmc3k",4384,63,"12","12","hPropr","hPropr","NF"
"Neuron442","pbmc3k",5295,71,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron443","pbmc3k",3707,69,"3","3","hSST","hSST","NP"
"Neuron445","pbmc3k",4048,72,"3","3","hSST","hSST","NP"
"Neuron446","pbmc3k",8716,82,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron448","pbmc3k",4074,69,"15","15","hNP2","hNP2","NP"
"Neuron449","pbmc3k",13246,74,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron451","pbmc3k",1894,60,"3","3","hSST","hSST","NP"
"Neuron452","pbmc3k",7136,64,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron453","pbmc3k",579,48,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron454","pbmc3k",9213,78,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron455","pbmc3k",5309,62,"12","12","hPropr","hPropr","NF"
"Neuron456","pbmc3k",6916,72,"15","15","hNP2","hNP2","NP"
"Neuron458","pbmc3k",14963,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron459","pbmc3k",6524,67,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron460","pbmc3k",7059,64,"12","12","hPropr","hPropr","NF"
"Neuron461","pbmc3k",358,49,"0","0","hNP1","hNP1","NP"
"Neuron462","pbmc3k",4049,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron463","pbmc3k",16011,75,"8","8","hAb.LTMR","hATF3","NF"
"Neuron464","pbmc3k",3650,67,"3","3","hSST","hSST","NP"
"Neuron465","pbmc3k",3843,71,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron466","pbmc3k",2205,59,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron467","pbmc3k",1163,61,"5","5","hNP1","hNP1","NP"
"Neuron468","pbmc3k",509,49,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron469","pbmc3k",7873,79,"5","5","hNP1","hNP1","NP"
"Neuron470","pbmc3k",2719,68,"0","0","hNP1","hNP1","NP"
"Neuron471","pbmc3k",299,49,"0","0","hNP1","hNP1","NP"
"Neuron472","pbmc3k",8964,73,"0","0","hNP1","hNP1","NP"
"Neuron473","pbmc3k",465,53,"0","0","hNP1","hNP1","NP"
"Neuron474","pbmc3k",766,50,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron475","pbmc3k",6996,69,"0","0","hNP1","hNP1","NP"
"Neuron476","pbmc3k",10534,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron477","pbmc3k",533,54,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron478","pbmc3k",9150,66,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron479","pbmc3k",10179,77,"15","15","hNP2","hNP2","NP"
"Neuron480","pbmc3k",7009,70,"0","0","hNP1","hNP1","NP"
"Neuron481","pbmc3k",1303,52,"12","12","hPropr","hPropr","NF"
"Neuron482","pbmc3k",4914,75,"15","15","hNP2","hNP2","NP"
"Neuron484","pbmc3k",4808,76,"15","15","hNP2","hNP2","NP"
"Neuron485","pbmc3k",5404,72,"0","0","hNP1","hNP1","NP"
"Neuron486","pbmc3k",5940,75,"3","3","hSST","hSST","NP"
"Neuron487","pbmc3k",4965,77,"12","12","hPropr","hPropr","NF"
"Neuron488","pbmc3k",5421,79,"5","5","hNP1","hNP1","NP"
"Neuron489","pbmc3k",994,61,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron490","pbmc3k",986,58,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron491","pbmc3k",3219,74,"5","5","hNP1","hNP1","NP"
"Neuron492","pbmc3k",7896,81,"5","5","hNP1","hNP1","NP"
"Neuron493","pbmc3k",3488,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron494","pbmc3k",775,61,"5","5","hNP1","hNP1","NP"
"Neuron495","pbmc3k",1916,73,"5","5","hNP1","hNP1","NP"
"Neuron496","pbmc3k",3236,62,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron497","pbmc3k",4697,55,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron498","pbmc3k",2813,67,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron499","pbmc3k",1549,62,"3","3","hSST","hSST","NP"
"Neuron500","pbmc3k",4854,72,"5","5","hNP1","hNP1","NP"
"Neuron502","pbmc3k",9111,73,"0","0","hNP1","hNP1","NP"
"Neuron503","pbmc3k",3217,66,"0","0","hNP1","hNP1","NP"
"Neuron504","pbmc3k",2041,68,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron505","pbmc3k",791,67,"5","5","hNP1","hNP1","NP"
"Neuron506","pbmc3k",4144,71,"15","15","hNP2","hNP2","NP"
"Neuron507","pbmc3k",5965,75,"0","0","hNP1","hNP1","NP"
"Neuron508","pbmc3k",3022,62,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron509","pbmc3k",2309,74,"15","15","hNP2","hNP2","NP"
"Neuron510","pbmc3k",5919,75,"0","0","hNP1","hNP1","NP"
"Neuron511","pbmc3k",3209,66,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron512","pbmc3k",5215,77,"3","3","hSST","hSST","NP"
"Neuron513","pbmc3k",8443,75,"3","3","hSST","hSST","NP"
"Neuron514","pbmc3k",9501,76,"5","5","hNP1","hNP1","NP"
"Neuron515","pbmc3k",5322,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron516","pbmc3k",6032,70,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron517","pbmc3k",12227,72,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron518","pbmc3k",11924,69,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron519","pbmc3k",523,39,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron520","pbmc3k",1076,59,"3","3","hSST","hSST","NP"
"Neuron521","pbmc3k",6810,77,"0","0","hNP1","hNP1","NP"
"Neuron522","pbmc3k",9389,74,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron523","pbmc3k",4115,75,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron524","pbmc3k",1342,64,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron525","pbmc3k",3919,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron526","pbmc3k",2539,69,"3","3","hSST","hSST","NP"
"Neuron527","pbmc3k",4696,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron528","pbmc3k",7281,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron529","pbmc3k",3408,72,"3","3","hSST","hSST","NP"
"Neuron530","pbmc3k",5218,74,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron531","pbmc3k",4873,63,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron532","pbmc3k",2053,70,"5","5","hNP1","hNP1","NP"
"Neuron533","pbmc3k",2757,70,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron534","pbmc3k",3963,73,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron535","pbmc3k",1805,55,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron536","pbmc3k",4887,60,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron537","pbmc3k",275,42,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron538","pbmc3k",710,53,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron539","pbmc3k",278,44,"15","15","hNP2","hNP2","NP"
"Neuron540","pbmc3k",11061,73,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron541","pbmc3k",625,52,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron543","pbmc3k",855,52,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron544","pbmc3k",149,30,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron545","pbmc3k",984,59,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron546","pbmc3k",2740,75,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron547","pbmc3k",662,49,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron548","pbmc3k",1210,59,"15","15","hNP2","hNP2","NP"
"Neuron549","pbmc3k",3453,74,"5","5","hNP1","hNP1","NP"
"Neuron550","pbmc3k",261,49,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron551","pbmc3k",1641,60,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron552","pbmc3k",7171,72,"0","0","hNP1","hNP1","NP"
"Neuron553","pbmc3k",502,50,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron554","pbmc3k",441,51,"0","0","hNP1","hNP1","NP"
"Neuron555","pbmc3k",8304,70,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron556","pbmc3k",3444,53,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron557","pbmc3k",507,42,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron558","pbmc3k",12248,72,"8","8","hAb.LTMR","hATF3","NF"
"Neuron559","pbmc3k",8789,69,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron560","pbmc3k",10827,67,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron561","pbmc3k",2052,66,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron562","pbmc3k",6873,67,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron563","pbmc3k",2892,67,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron564","pbmc3k",10768,76,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron565","pbmc3k",434,49,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron566","pbmc3k",3295,73,"5","5","hNP1","hNP1","NP"
"Neuron567","pbmc3k",5904,77,"5","5","hNP1","hNP1","NP"
"Neuron568","pbmc3k",926,55,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron569","pbmc3k",3175,60,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron570","pbmc3k",7343,75,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron571","pbmc3k",2191,65,"3","3","hSST","hSST","NP"
"Neuron572","pbmc3k",762,52,"3","3","hSST","hSST","NP"
"Neuron573","pbmc3k",934,65,"5","5","hNP1","hNP1","NP"
"Neuron574","pbmc3k",1519,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron575","pbmc3k",5267,73,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron576","pbmc3k",780,51,"14","14","hPEP0","hPEP.0","PEP"
"Neuron577","pbmc3k",703,48,"14","14","hPEP0","hPEP.0","PEP"
"Neuron578","pbmc3k",811,60,"5","5","hNP1","hNP1","NP"
"Neuron579","pbmc3k",7636,76,"3","3","hSST","hSST","NP"
"Neuron580","pbmc3k",10719,75,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron581","pbmc3k",7383,75,"0","0","hNP1","hNP1","NP"
"Neuron583","pbmc3k",2230,70,"5","5","hNP1","hNP1","NP"
"Neuron584","pbmc3k",2575,65,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron585","pbmc3k",1008,62,"14","14","hPEP0","hPEP.0","PEP"
"Neuron586","pbmc3k",6204,76,"3","3","hSST","hSST","NP"
