"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron161","pbmc3k",2534,70,"10706-04646","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron162","pbmc3k",6552,70,"10773-04815","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron163","pbmc3k",3968,70,"10478-05298","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron164","pbmc3k",1799,52,"10540-05544","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron165","pbmc3k",8079,76,"10682-05796","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron166","pbmc3k",2971,63,"10464-05760","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron167","pbmc3k",3564,66,"10606-06037","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron168","pbmc3k",5992,75,"10738-06246","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron169","pbmc3k",623,55,"10891-06426","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron170","pbmc3k",5087,68,"11099-06491","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron171","pbmc3k",6211,66,"11318-06619","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron172","pbmc3k",779,57,"11261-06751","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron173","pbmc3k",1999,64,"11303-07144","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
