,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N4-RT12-107,SeuratProject,90549,4257,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-107
N4-RT12-108,SeuratProject,139064,4825,16,N4,2,thoracic 12,thoracic,NP2,N4-RT12-108
N4-RT12-109,SeuratProject,185013,9106,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-109
N4-RT12-110,SeuratProject,190892,5395,3,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-110
N4-RT12-112,SeuratProject,158540,6035,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-112
N4-RT12-113,SeuratProject,249514,11210,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-113
N4-RT12-114,SeuratProject,232910,10437,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-114
N4-RT12-115,SeuratProject,85829,6106,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-115
N4-RT12-116,SeuratProject,155391,8550,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-116
N4-RT12-117,SeuratProject,119107,7817,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-117
N4-RT12-118,SeuratProject,85711,4462,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-118
N4-RT12-119,SeuratProject,140127,8276,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-119
N4-RT12-120,SeuratProject,176348,8757,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-120
N4-RT12-122,SeuratProject,121587,7684,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-122
N4-RT12-123,SeuratProject,92879,4985,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-123
N4-RT12-124,SeuratProject,241746,9025,15,N4,2,thoracic 12,thoracic,PEP.H4.15,N4-RT12-124
N4-RT12-125,SeuratProject,65516,2740,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-125
N4-RT12-126,SeuratProject,83866,2643,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-126
N4-RT12-127,SeuratProject,178381,8329,17,N4,2,thoracic 12,thoracic,C.LTMR,N4-RT12-127
N4-RT12-128,SeuratProject,295678,11699,14,N4,2,thoracic 12,thoracic,PEP3,N4-RT12-128
N4-RT12-129,SeuratProject,220150,8996,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-129
N4-RT12-130,SeuratProject,253088,10148,10,N4,3,thoracic 12,thoracic,NP1,N4-RT12-130
N4-RT12-131,SeuratProject,204167,7714,5,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-131
N4-RT12-132,SeuratProject,319477,11435,8,N4,3,thoracic 12,thoracic,PEP.H4,N4-RT12-132
N4-RT12-133,SeuratProject,146017,6330,2,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-133
N4-RT12-134,SeuratProject,162443,7279,4,N4,3,thoracic 12,thoracic,PEP.H8,N4-RT12-134
N4-RT12-135,SeuratProject,213440,8118,7,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-135
N4-RT12-136,SeuratProject,462072,10914,0,N4,3,thoracic 12,thoracic,Propr,N4-RT12-136
N4-RT12-137,SeuratProject,131788,7981,5,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-137
N4-RT12-138,SeuratProject,112477,4864,2,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-138
N4-RT12-139,SeuratProject,121286,4004,9,N4,3,thoracic 12,thoracic,PEP1.13,N4-RT12-139
N4-RT12-140,SeuratProject,71750,4493,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-140
N4-RT12-141,SeuratProject,64675,3618,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-141
N4-RT12-142,SeuratProject,97112,6934,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-142
N4-RT12-143,SeuratProject,85208,6953,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-143
N4-RT12-144,SeuratProject,74280,2880,3,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-144
N4-RT12-145,SeuratProject,212711,10628,10,N4,3,thoracic 12,thoracic,NP1,N4-RT12-145
N4-RT12-146,SeuratProject,89617,5958,17,N4,3,thoracic 12,thoracic,C.LTMR,N4-RT12-146
N4-RT12-147,SeuratProject,116655,6439,0,N4,3,thoracic 12,thoracic,Propr,N4-RT12-147
N4-RT12-149,SeuratProject,79341,6197,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-149
N4-RT12-150,SeuratProject,176306,9669,15,N4,3,thoracic 12,thoracic,PEP.H4.15,N4-RT12-150
N4-RT12-151,SeuratProject,127928,7642,4,N4,3,thoracic 12,thoracic,PEP.H8,N4-RT12-151
N4-RT12-152,SeuratProject,95843,7327,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-152
N4-RT12-154,SeuratProject,68698,5988,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-154
N4-RT12-155,SeuratProject,122371,2797,3,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-155
N4-RT12-156,SeuratProject,90805,6690,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-156
N4-RT12-157,SeuratProject,423735,10068,5,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-157
N4-RT12-158,SeuratProject,226373,10200,14,N4,3,thoracic 12,thoracic,PEP3,N4-RT12-158
N4-RT12-159,SeuratProject,220879,9210,8,N4,3,thoracic 12,thoracic,PEP.H4,N4-RT12-159
N4-RT12-160,SeuratProject,100905,5227,9,N4,3,thoracic 12,thoracic,PEP1.13,N4-RT12-160
N4-RT12-161,SeuratProject,128669,6271,9,N4,3,thoracic 12,thoracic,PEP1.13,N4-RT12-161
N4-RT12-162,SeuratProject,99237,6650,2,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-162
N4-RT12-163,SeuratProject,290395,9994,11,N4,3,thoracic 12,thoracic,Ad.LTMR,N4-RT12-163
N4-RT12-164,SeuratProject,101570,4547,3,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-164
N4-RT12-165,SeuratProject,503533,10380,0,N4,3,thoracic 12,thoracic,Propr,N4-RT12-165
N4-RT12-166,SeuratProject,261425,5139,3,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-166
N4-RT12-167,SeuratProject,455863,11204,5,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-167
N4-RT12-168,SeuratProject,326959,7012,7,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-168
N4-RT12-169,SeuratProject,71515,7887,9,N4,3,thoracic 12,thoracic,PEP1.13,N4-RT12-169
N4-RT12-170,SeuratProject,211599,6257,0,N4,3,thoracic 12,thoracic,Propr,N4-RT12-170
N4-RT12-171,SeuratProject,262006,8404,10,N4,3,thoracic 12,thoracic,NP1,N4-RT12-171
N4-RT12-172,SeuratProject,294340,10112,11,N4,3,thoracic 12,thoracic,Ad.LTMR,N4-RT12-172
N4-RT12-173,SeuratProject,224566,8399,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-173
N4-RT12-174,SeuratProject,220969,8670,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-174
N4-RT12-175,SeuratProject,384509,8072,2,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-175
N4-RT12-176,SeuratProject,660160,8214,2,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-176
N4-RT12-177,SeuratProject,275989,5526,3,N4,3,thoracic 12,thoracic,TRPM8,N4-RT12-177
N4-RT12-178,SeuratProject,1023501,13814,8,N4,3,thoracic 12,thoracic,PEP.H4,N4-RT12-178
N4-RT12-179,SeuratProject,279377,8036,11,N4,3,thoracic 12,thoracic,Ad.LTMR,N4-RT12-179
N4-RT12-180,SeuratProject,863641,12077,13,N4,3,thoracic 12,thoracic,Ad.LTMR,N4-RT12-180
N4-RT12-181,SeuratProject,1230506,8701,3,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-181
N4-RT12-182,SeuratProject,430794,6135,1,N4,3,thoracic 12,thoracic,NP1,N4-RT12-182
N4-RT12-183,SeuratProject,761460,10593,8,N4,3,thoracic 12,thoracic,PEP.H4,N4-RT12-183
N4-RT12-184,SeuratProject,355825,6317,3,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-184
N4-RT12-186,SeuratProject,797513,12746,13,N4,3,thoracic 12,thoracic,Ad.LTMR,N4-RT12-186
N4-RT12-187,SeuratProject,861179,9588,7,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-187
N4-RT12-188,SeuratProject,510180,10873,7,N4,3,thoracic 12,thoracic,Ab.LTMR,N4-RT12-188
N4-RT12-189,SeuratProject,1169803,10239,11,N4,3,thoracic 12,thoracic,Ad.LTMR,N4-RT12-189
N4-RT12-190,SeuratProject,106717,4126,3,N4,3,thoracic 12,thoracic,PEP.H0,N4-RT12-190
N4-RT12-191,SeuratProject,396221,11218,0,N4,3,thoracic 12,thoracic,Propr,N4-RT12-191
N4-RT12-192,SeuratProject,77810,7267,0,N4,3,thoracic 12,thoracic,Propr,N4-RT12-192
N4-RT12-193,SeuratProject,300988,9306,8,N4,3,thoracic 12,thoracic,PEP.H4,N4-RT12-193
N4-RT12-194,SeuratProject,157670,6508,12,N4,3,thoracic 12,thoracic,NP3,N4-RT12-194
